fips,population,density
1,1680480,2273.71
3,1209,1.64
5,40446,54.72
7,196880,266.38
9,46319,62.67
11,21805,29.5
13,1159540,1568.87
15,27956,37.82
17,197037,266.59
19,1013400,1371.14
21,29245,39.57
23,134186,181.56
25,180599,244.35
27,18225,24.66
29,913090,1235.42
31,156056,211.15
33,64524,87.3
35,30483,41.24
37,9969510,13488.85
39,158217,214.07
41,257154,347.93
43,16799,22.73
45,85445,115.61
47,284738,385.25
49,8923,12.07
51,14526,19.65
53,434283,587.59
55,135654,183.54
57,100249,135.64
59,3175130,4295.98
61,410327,555.18
63,18939,25.62
65,2520060,3409.67
67,1578680,2135.97
69,65490,88.61
71,2206750,2985.76
73,3347270,4528.89
75,883255,1195.05
77,781462,1057.33
79,282625,382.39
81,762357,1031.48
83,447937,606.06
85,1918880,2596.26
87,271957,367.96
89,180822,244.65
91,3021,4.09
93,43517,58.88
95,451479,610.86
97,485722,657.19
99,555728,751.91
101,98217,132.89
103,67216,90.94
105,11721,15.86
107,469407,635.11
109,54660,73.96
111,841734,1138.87
113,221264,299.37
115,80890,109.45
