Rank,County,Population
1,Los Angeles County,10081570
2,San Diego County,3316073
3,Orange County,3168044
4,Riverside County,2411439
5,San Bernardino County,2149031
6,Santa Clara County,1927470
7,Alameda County,1656754
8,Sacramento County,1524553
9,Contra Costa County,1142251
10,Fresno County,984521
11,Kern County,887641
12,San Francisco County,874961
13,Ventura County,847263
14,San Mateo County,767423
15,San Joaquin County,742603
16,Stanislaus County,543194
17,Sonoma County,499772
18,Tulare County,461898
19,Santa Barbara County,444829
20,Solano County,441829
21,Monterey County,433410
22,Placer County,385512
23,San Luis Obispo County,282165
24,Santa Cruz County,273962
25,Merced County,271382
26,Marin County,259943
27,Butte County,225817
28,Yolo County,217352
29,El Dorado County,188563
30,Imperial County,180701
31,Shasta County,179212
32,Madera County,155433
33,Kings County,150691
34,Napa County,139623
35,Humboldt County,135940
36,Nevada County,99244
37,Sutter County,96109
38,Mendocino County,87224
39,Yuba County,76360
40,Lake County,64195
41,Tehama County,63912
42,San Benito County,60376
43,Tuolumne County,54045
44,Calaveras County,45514
45,Siskiyou County,43468
46,Amador County,38429
47,Lassen County,30818
48,Glenn County,27976
49,Del Norte County,27495
50,Colusa County,21454
51,Plumas County,18660
52,Inyo County,17977
53,Mariposa County,17420
54,Mono County,14310
55,Trinity County,12700
56,Modoc County,8907
57,Sierra County,3040
58,Alpine County,1039
"United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2019. U.S. Census Bureau, Population Division. Web. May 2020. http://www.census.gov/.  United States Census Bureau. B01001 SEX BY AGE, 2019 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 10 December 2020. http://www.census.gov/.","United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2019. U.S. Census Bureau, Population Division. Web. May 2020. http://www.census.gov/.  United States Census Bureau. B01001 SEX BY AGE, 2019 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 10 December 2020. http://www.census.gov/.","United States Census Bureau. Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2019. U.S. Census Bureau, Population Division. Web. May 2020. http://www.census.gov/.  United States Census Bureau. B01001 SEX BY AGE, 2019 American Community Survey 5-Year Estimates. U.S. Census Bureau, American Community Survey Office. Web. 10 December 2020. http://www.census.gov/."
